GAME_ID,TEAMS,LOCATION,W/L,FINAL_MARGIN,DEFENSIVE_RATING,PLAYER_NAME,PLAYER_ID,POINTS
21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24,100.9,brian roberts,203148,4
21400890,"MAR 03, 2015 - CHA vs. LAL",H,W,1,105.3,brian roberts,203148,4
21400882,"MAR 01, 2015 - CHA @ ORL",A,W,15,101.4,brian roberts,203148,0
21400859,"FEB 27, 2015 - CHA @ BOS",A,L,-8,101.2,brian roberts,203148,6
21400845,"FEB 25, 2015 - CHA @ CHI",A,W,12,97.8,brian roberts,203148,12
21400827,"FEB 22, 2015 - CHA @ DAL",A,L,-11,102.3,brian roberts,203148,0
21400816,"FEB 21, 2015 - CHA vs. OKC",H,L,-7,101.8,brian roberts,203148,4
21400783,"FEB 10, 2015 - CHA vs. DET",H,L,-28,99.5,brian roberts,203148,2
21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1,97,brian roberts,203148,19
21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8,101,brian roberts,203148,5
21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7,97.8,brian roberts,203148,11
21400719,"FEB 02, 2015 - CHA @ WAS",A,W,4,97.8,brian roberts,203148,13
21400713,"JAN 31, 2015 - CHA @ DEN",A,W,18,105,brian roberts,203148,0
21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9,97,brian roberts,203148,8
21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5,101.2,brian roberts,203148,11
21400643,"JAN 23, 2015 - CHA @ CLE",A,L,-39,98.7,brian roberts,203148,3
21400625,"JAN 21, 2015 - CHA vs. MIA",H,W,2,97.3,brian roberts,203148,3
21400611,"JAN 19, 2015 - CHA vs. MIN",H,W,25,106.5,brian roberts,203148,14
21400600,"JAN 17, 2015 - CHA vs. IND",H,W,9,97,brian roberts,203148,4
21400574,"JAN 14, 2015 - CHA vs. SAS",H,L,-5,97,brian roberts,203148,4
21400549,"JAN 10, 2015 - CHA @ NYK",A,W,28,101.2,brian roberts,203148,10
21400535,"JAN 08, 2015 - CHA @ TOR",A,W,8,100.9,brian roberts,203148,4
21400522,"JAN 07, 2015 - CHA vs. NOP",H,W,4,98.6,brian roberts,203148,8
21400510,"JAN 05, 2015 - CHA @ BOS",A,W,9,101.2,brian roberts,203148,3
21400495,"JAN 03, 2015 - CHA @ ORL",A,W,8,101.4,brian roberts,203148,2
21400484,"JAN 02, 2015 - CHA vs. CLE",H,L,-4,98.7,brian roberts,203148,4
21400478,"DEC 31, 2014 - CHA @ HOU",A,L,-19,100.5,brian roberts,203148,3
21400459,"DEC 29, 2014 - CHA vs. MIL",H,L,-10,97.4,brian roberts,203148,7
21400444,"DEC 27, 2014 - CHA vs. ORL",H,L,-8,101.4,brian roberts,203148,3
21400438,"DEC 26, 2014 - CHA @ OKC",A,L,-23,101.8,brian roberts,203148,13
21400423,"DEC 23, 2014 - CHA @ MIL",A,W,7,97.4,brian roberts,203148,2
21400409,"DEC 22, 2014 - CHA vs. DEN",H,W,28,105,brian roberts,203148,7
21400395,"DEC 20, 2014 - CHA vs. UTA",H,W,18,94.9,brian roberts,203148,5
21400384,"DEC 19, 2014 - CHA @ PHI",A,W,18,101,brian roberts,203148,3
21400369,"DEC 17, 2014 - CHA vs. PHX",H,L,-5,103.3,brian roberts,203148,6
21400355,"DEC 15, 2014 - CHA @ CLE",A,L,-9,98.7,brian roberts,203148,7
21400341,"DEC 13, 2014 - CHA vs. BKN",H,L,-27,100.9,brian roberts,203148,13
21400334,"DEC 12, 2014 - CHA @ MEM",A,L,-6,95.1,brian roberts,203148,0
21400316,"DEC 10, 2014 - CHA vs. BOS",H,W,9,101.2,brian roberts,203148,4
21400276,"DEC 05, 2014 - CHA vs. NYK",H,W,1,101.2,brian roberts,203148,2
21400263,"DEC 03, 2014 - CHA vs. CHI",H,L,-7,97.8,brian roberts,203148,3
21400237,"NOV 29, 2014 - CHA @ ATL",A,L,-30,97.1,brian roberts,203148,0
21400224,"NOV 28, 2014 - CHA vs. GSW",H,L,-5,99.9,brian roberts,203148,18
21400210,"NOV 26, 2014 - CHA vs. POR",H,L,-8,98.6,brian roberts,203148,21
21400198,"NOV 24, 2014 - CHA vs. LAC",H,L,-21,100.1,brian roberts,203148,11
21400195,"NOV 23, 2014 - CHA @ MIA",A,L,-1,97.3,brian roberts,203148,2
21400172,"NOV 21, 2014 - CHA vs. ORL",H,L,-5,101.4,brian roberts,203148,6
21400160,"NOV 19, 2014 - CHA @ IND",A,L,-2,97,brian roberts,203148,9
21400146,"NOV 17, 2014 - CHA vs. DAL",H,L,-27,102.3,brian roberts,203148,0
21400140,"NOV 15, 2014 - CHA @ GSW",A,L,-25,99.9,brian roberts,203148,14
21400130,"NOV 14, 2014 - CHA @ PHX",A,W,8,103.3,brian roberts,203148,7
21400107,"NOV 11, 2014 - CHA @ POR",A,L,-2,98.6,brian roberts,203148,10
21400097,"NOV 09, 2014 - CHA @ LAL",A,L,-15,105.3,brian roberts,203148,0
21400071,"NOV 07, 2014 - CHA vs. ATL",H,W,3,97.1,brian roberts,203148,0
21400057,"NOV 05, 2014 - CHA vs. MIA",H,W,7,97.3,brian roberts,203148,0
21400054,"NOV 04, 2014 - CHA @ NOP",A,L,-9,98.6,brian roberts,203148,2
21400041,"NOV 02, 2014 - CHA @ NYK",A,L,-3,101.2,brian roberts,203148,2
21400028,"NOV 01, 2014 - CHA vs. MEM",H,L,-2,95.1,brian roberts,203148,5
21400004,"OCT 29, 2014 - CHA vs. MIL",H,W,2,97.4,brian roberts,203148,4
21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24,100.9,bismack biyombo,202687,2
21400890,"MAR 03, 2015 - CHA vs. LAL",H,W,1,105.3,bismack biyombo,202687,0
21400882,"MAR 01, 2015 - CHA @ ORL",A,W,15,101.4,bismack biyombo,202687,2
21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5,101.2,bismack biyombo,202687,0
21400643,"JAN 23, 2015 - CHA @ CLE",A,L,-39,98.7,bismack biyombo,202687,8
21400625,"JAN 21, 2015 - CHA vs. MIA",H,W,2,97.3,bismack biyombo,202687,10
21400611,"JAN 19, 2015 - CHA vs. MIN",H,W,25,106.5,bismack biyombo,202687,6
21400600,"JAN 17, 2015 - CHA vs. IND",H,W,9,97,bismack biyombo,202687,6
21400574,"JAN 14, 2015 - CHA vs. SAS",H,L,-5,97,bismack biyombo,202687,8
21400549,"JAN 10, 2015 - CHA @ NYK",A,W,28,101.2,bismack biyombo,202687,10
21400535,"JAN 08, 2015 - CHA @ TOR",A,W,8,100.9,bismack biyombo,202687,4
21400522,"JAN 07, 2015 - CHA vs. NOP",H,W,4,98.6,bismack biyombo,202687,2
21400510,"JAN 05, 2015 - CHA @ BOS",A,W,9,101.2,bismack biyombo,202687,4
21400478,"DEC 31, 2014 - CHA @ HOU",A,L,-19,100.5,bismack biyombo,202687,2
21400459,"DEC 29, 2014 - CHA vs. MIL",H,L,-10,97.4,bismack biyombo,202687,0
21400438,"DEC 26, 2014 - CHA @ OKC",A,L,-23,101.8,bismack biyombo,202687,0
21400423,"DEC 23, 2014 - CHA @ MIL",A,W,7,97.4,bismack biyombo,202687,2
21400409,"DEC 22, 2014 - CHA vs. DEN",H,W,28,105,bismack biyombo,202687,6
21400395,"DEC 20, 2014 - CHA vs. UTA",H,W,18,94.9,bismack biyombo,202687,2
21400384,"DEC 19, 2014 - CHA @ PHI",A,W,18,101,bismack biyombo,202687,4
21400355,"DEC 15, 2014 - CHA @ CLE",A,L,-9,98.7,bismack biyombo,202687,2
21400341,"DEC 13, 2014 - CHA vs. BKN",H,L,-27,100.9,bismack biyombo,202687,2
21400276,"DEC 05, 2014 - CHA vs. NYK",H,W,1,101.2,bismack biyombo,202687,6
21400263,"DEC 03, 2014 - CHA vs. CHI",H,L,-7,97.8,bismack biyombo,202687,4
21400237,"NOV 29, 2014 - CHA @ ATL",A,L,-30,97.1,bismack biyombo,202687,6
21400224,"NOV 28, 2014 - CHA vs. GSW",H,L,-5,99.9,bismack biyombo,202687,8
21400210,"NOV 26, 2014 - CHA vs. POR",H,L,-8,98.6,bismack biyombo,202687,2
21400198,"NOV 24, 2014 - CHA vs. LAC",H,L,-21,100.1,bismack biyombo,202687,2
21400172,"NOV 21, 2014 - CHA vs. ORL",H,L,-5,101.4,bismack biyombo,202687,4
21400160,"NOV 19, 2014 - CHA @ IND",A,L,-2,97,bismack biyombo,202687,4
21400146,"NOV 17, 2014 - CHA vs. DAL",H,L,-27,102.3,bismack biyombo,202687,4
21400130,"NOV 14, 2014 - CHA @ PHX",A,W,8,103.3,bismack biyombo,202687,6
21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24,100.9,al jefferson,2744,16
21400890,"MAR 03, 2015 - CHA vs. LAL",H,W,1,105.3,al jefferson,2744,18
