Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Stephen Curry\curryst01,2015-16,27,GSW,NBA,17.9,79,79,2700,805,1598,403,712,402,886,363,400,68,362,430,527,169,15,262,161,2375,.504,.566,.454,.630,.908,.669
2,Kevin Durant\duranke01,2015-16,27,OKC,NBA,14.5,72,72,2578,698,1381,512,900,186,481,447,498,45,544,589,361,69,85,250,137,2029,.505,.569,.387,.573,.898,.634
3,Russell Westbrook\westbru01,2015-16,27,OKC,NBA,14.0,80,80,2750,656,1444,555,1103,101,341,465,573,145,481,626,834,163,20,342,200,1878,.454,.503,.296,.489,.812,.554
4,Kawhi Leonard\leonaka01,2015-16,24,SAS,NBA,13.7,72,72,2380,551,1090,422,799,129,291,292,334,95,398,493,186,128,71,105,133,1523,.506,.528,.443,.565,.874,.616
5,LeBron James\jamesle01,2015-16,31,CLE,NBA,13.6,76,76,2709,737,1416,650,1134,87,282,359,491,111,454,565,514,104,49,249,143,1920,.520,.573,.309,.551,.731,.588
6,James Harden\hardeja01,2015-16,26,HOU,NBA,13.3,82,82,3125,710,1617,474,960,236,657,720,837,63,438,501,612,139,51,374,229,2376,.439,.494,.359,.512,.860,.598
7,Chris Paul\paulch01,2015-16,30,LAC,NBA,12.7,74,74,2420,515,1114,393,785,122,329,294,328,39,271,310,738,152,13,194,185,1446,.462,.501,.371,.517,.896,.575
8,Kyle Lowry\lowryky01,2015-16,29,TOR,NBA,11.6,77,77,2851,512,1198,300,651,212,547,398,491,55,310,365,494,158,34,225,211,1634,.427,.461,.388,.516,.811,.578
9,DeAndre Jordan\jordade01,2015-16,27,LAC,NBA,11.5,77,77,2598,357,508,357,507,0,1,266,619,267,792,1059,90,51,177,107,207,980,.703,.704,.000,.703,.430,.628
10,Draymond Green\greendr01,2015-16,25,GSW,NBA,11.1,81,81,2808,401,819,301,561,100,258,229,329,134,635,769,598,119,113,259,240,1131,.490,.537,.388,.551,.696,.587
11,Hassan Whiteside\whiteha01,2015-16,26,MIA,NBA,10.3,73,43,2125,413,682,413,682,0,0,214,329,238,627,865,30,44,269,137,201,1040,.606,.606,,.606,.650,.629
12,LaMarcus Aldridge\aldrila01,2015-16,30,SAS,NBA,10.1,74,74,2261,536,1045,536,1029,0,16,259,302,176,456,632,110,38,81,99,151,1331,.513,.521,.000,.513,.858,.565
13,Paul Millsap\millspa01,2015-16,30,ATL,NBA,10.1,81,81,2647,501,1066,427,834,74,232,309,408,198,534,732,265,147,139,191,237,1385,.470,.512,.319,.505,.757,.556
14,DeMar DeRozan\derozde01,2015-16,26,TOR,NBA,9.9,78,78,2804,614,1377,567,1238,47,139,555,653,64,285,349,315,81,21,175,167,1830,.446,.458,.338,.463,.850,.550
15,Kemba Walker\walkeke02,2015-16,25,CHO,NBA,9.9,81,81,2885,568,1331,386,841,182,490,371,438,56,301,357,421,126,39,171,111,1689,.427,.459,.371,.495,.847,.554
16,Isaiah Thomas\thomais02,2015-16,26,BOS,NBA,9.7,82,79,2644,591,1382,424,917,167,465,474,544,46,197,243,509,91,9,220,167,1823,.428,.462,.359,.488,.871,.562
17,Al Horford\horfoal01,2015-16,29,ATL,NBA,9.4,82,82,2631,529,1048,441,792,88,256,103,129,148,448,596,263,68,121,107,163,1249,.505,.557,.344,.547,.798,.565
18,Paul George\georgpa01,2015-16,25,IND,NBA,9.2,81,81,2819,605,1449,395,883,210,566,454,528,79,484,563,329,152,29,265,230,1874,.418,.447,.371,.490,.860,.557
19,Damian Lillard\lillada01,2015-16,25,POR,NBA,9.2,75,75,2676,618,1474,389,864,229,610,414,464,45,257,302,512,65,28,242,165,1879,.419,.450,.375,.497,.892,.560
